2016 Presidential Election,Trump,Clinton,Others,
Alameda,95922,514842,43502,
Alpine,217,334,51,
Amador,10485,6004,1245,
Butte,45144,41567,8853,
Calaveras,13511,7944,1681,
Colusa,3551,2661,420,
Contra Costa,115956,319287,30932,
Del Norte,5134,3485,939,
El Dorado,49247,36404,7940,
Fresno,124049,141341,16929,
Glenn,5788,3065,617,
Humboldt,18373,33200,7673,
Imperial,12704,32667,2720,
Inyo,4248,3155,683,
Kern,129584,98689,15890,
Kings,18093,13617,2205,
Lake,10599,11496,2401,
Lassen,7574,2224,726,
Los Angeles,769743,2464364,200201,
Madera,23357,17029,2726,
Marin,21771,108707,8795,
Mariposa,5185,3122,570,
Mendocino,10888,22079,4510,
Merced,28725,37317,4747,
Modoc,2696,877,215,
Mono,2111,2773,392,
Monterey,34895,89088,9425,
Napa,17411,39199,4762,
Nevada,23365,26053,5517,
Orange,507148,609961,80412,
Placer,95138,73509,14192,
Plumas,5420,3459,797,
Riverside,333243,373695,44453,
Sacramento,189789,326023,43518,
San Benito,7841,12521,1562,
San Bernardino,271240,340833,41910,
San Diego,477766,735476,93158,
San Francisco,37688,345084,23020,
San Joaquin,88936,121124,14106,
San Luis Obispo,56164,67107,11738,
San Mateo,57929,237882,18573,
Santa Barbara,56365,107142,13279,
Santa Clara,144826,511684,47199,
Santa Cruz,22438,95249,11134,
Shasta,51778,22301,5974,
Sierra,1048,601,181,
Siskiyou,11341,7234,1917,
Solano,51920,102360,11833,
Sonoma,51408,160435,19410,
Stanislaus,78494,81647,12005,
Sutter,18176,13076,2271,
Tehama,15494,6809,1605,
Trinity,2812,2214,660,
Tulare,58299,47585,6450,
Tuolumne,14551,9123,1855,
Ventura,132323,194402,25001,
Yolo,20739,54752,6599,
Yuba,13170,7910,1918,
