2016 US Presidential Election,Trump,Clinton,Others
Alabama,1318255,729547,75570
Alaska,163387,116454,38767
Arizona,1252401,1161167,159597
Arkansas,684872,380494,65310
California,4483814,8753792,943998
Colorado,1202484,1338870,238893
Connecticut,673215,897572,74133
Delaware,185127,235603,23084
District of Columbia,12723,282830,15715
Florida,4617886,4504975,297178
Georgia,2089104,1877963,147665
Hawaii,128847,266891,33199
Idaho,409055,189765,91435
Illinois,2146015,3090729,299680
Indiana,1557286,1033126,144546
Iowa,800983,653669,111379
Kansas,671018,427005,86379
Kentucky,1202971,628854,92324
Louisiana,1178638,780154,70240
Maine,335593,357735,54599
Maryland,943169,1677928,160349
Massachusetts,1090893,1995196,238957
Michigan,2279543,2268839,250902
Minnesota,1322951,1367716,254146
Mississippi,700714,485131,23512
Missouri,1594511,1071068,143026
Montana,279240,177709,40198
Nebraska,495961,284494,63772
Nevada,512058,539260,74067
New Hampshire,345790,348526,49980
New Jersey,1601933,2148278,123835
New Mexico,319667,385234,93418
New York,2819533,4556118,345791
North Carolina,2362631,2189316,189617
North Dakota,216794,93758,33808
Ohio,2841005,2394164,261318
Oklahoma,949136,420375,83481
Oregon,782403,1002106,216827
Pennsylvania,2970733,2926441,268304
Rhode Island,180543,252525,31076
South Carolina,1155389,855373,92265
South Dakota,227721,117458,24914
Tennessee,1522925,870695,114407
Texas,4685047,3877868,406311
Utah,515231,310676,305523
Vermont,95369,178573,41125
Virginia,1769443,1981473,233715
Washington,1221747,1742718,352554
West Virginia,489371,188794,36258
Wisconsin,1405284,1382536,188330
Wyoming,174419,55973,25457
