2020 Presidential Election,Trump,Biden,Others,
Alameda,136309,617659,15896,
Alpine,244,476,21,
Amador,13585,8153,564,
Butte,48730,50426,2886,
Calaveras,16518,10046,600,
Colusa,4554,3234,163,
Contra Costa,152877,416386,11967,
Del Norte,6461,4677,314,
El Dorado,61838,51621,2679,
Fresno,164464,193025,7320,
Glenn,7063,3995,234,
Humboldt,21770,44768,2290,
Imperial,20847,34678,1193,
Inyo,4620,4634,227,
Kern,164484,133366,7376,
Kings,24072,18699,1087,
Lake,13123,14941,736,
Lassen,8970,2799,216,
Los Angeles,1145530,3028885,89028,
Madera,29378,23168,1176,
Marin,24612,128288,2901,
Mariposa,5950,4088,242,
Mendocino,13267,28782,1287,
Merced,39397,48991,2153,
Modoc,3109,1150,79,
Mono,2513,4013,211,
Monterey,46299,113953,3631,
Napa,20676,49817,1629,
Nevada,26779,36359,1600,
Orange,676498,814009,31218,
Placer,122488,106869,5660,
Plumas,6445,4561,250,
Riverside,448702,527945,19509,
Sacramento,259405,440808,18077,
San Benito,10590,17628,603,
San Bernardino,366257,455859,18815,
San Diego,600094,964650,36978,
San Francisco,56417,378156,8885,
San Joaquin,121098,161137,6208,
San Luis Obispo,67436,88310,3935,
San Mateo,75563,291410,7085,
Santa Barbara,65736,129963,4589,
Santa Clara,214612,617967,17943,
Santa Cruz,26937,114246,3613,
Shasta,60789,30000,2111,
Sierra,1142,730,58,
Siskiyou,13290,9593,567,
Solano,69306,131639,4886,
Sonoma,61825,199938,6489,
Stanislaus,104145,105841,4890,
Sutter,24375,17367,898,
Tehama,19141,8911,669,
Trinity,3188,2851,219,
Tulare,77579,66105,3148,
Tuolumne,17689,11978,734,
Ventura,162207,251388,9103,
Yolo,27292,67598,2374,
Yuba,17676,11230,881,
