2024 Presidential Election,Trump,Harris,Other,
Alameda,140789,499551,29567,
Alpine,243,479,16,
Amador,14018,7783,602,
Butte,47179,44228,3149,
Calaveras,16625,9181,674,
Colusa,4414,2431,176,
Contra Costa,155308,356008,16671,
Del Norte,5999,4266,300,
El Dorado,61109,47703,3096,
Fresno,165924,151628,8497,
Glenn,6904,3260,278,
Humboldt,21559,39800,2873,
Imperial,26546,26083,1409,
Inyo,4468,4201,282,
Kern,167879,108241,7164,
Kings,25074,15519,915,
Lake,13161,12794,806,
Lassen,8619,2478,274,
Los Angeles,1189862,2417109,122118,
Madera,32344,20981,1307,
Marin,24054,116152,3923,
Mariposa,5625,3622,262,
Mendocino,13528,24049,1642,
Merced,43955,40190,2293,
Modoc,2884,1008,131,
Mono,2294,3522,248,
Monterey,49226,93060,4468,
Napa,20357,43212,1992,
Nevada,26177,33784,2183,
Orange,654815,691731,44761,
Placer,123941,103958,6972,
Plumas,5725,4020,322,
Riverside,463677,451782,25051,
Sacramento,252140,381564,23043,
San Benito,11702,15179,771,
San Bernardino,378416,362114,21316,
San Diego,593270,841372,43386,
San Francisco,62594,323719,16684,
San Joaquin,128996,126647,8066,
San Luis Obispo,64932,81314,4646,
San Mateo,76616,242957,10992,
Santa Barbara,64870,114149,5762,
Santa Clara,210924,510744,28938,
Santa Cruz,27978,100998,5179,
Shasta,59539,27130,2250,
Sierra,1066,641,48,
Siskiyou,12461,8329,708,
Solano,70345,113997,5540,
Sonoma,63426,179600,8439,
Stanislaus,106986,85347,5179,
Sutter,25372,13016,951,
Tehama,18503,7415,618,
Trinity,2979,2449,218,
Tulare,81854,53221,3234,
Tuolumne,17210,10909,607,
Ventura,158901,217424,11379,
Yolo,27844,61405,3372,
Yuba,18491,10725,856,
