2020 US Presidential Election,Trump,Biden,Others
Alabama,1441170,849624,32488
Alaska,189951,153778,15801
Arizona,1661686,1672143,53497
Arkansas,760647,423932,34490
California,6006429,11110250,384202
Colorado,1364607,1804352,88021
Connecticut,714717,1080831,28309
Delaware,200603,296268,7475
District of Columbia,18586,317323,8447
Florida,5668731,5297045,101680
Georgia,2461854,2473633,64473
Hawaii,196864,366130,11475
Idaho,554119,287021,26874
Illinois,2446891,3471915,114938
Indiana,1729519,1242416,61186
Iowa,897672,759061,34138
Kansas,771406,570323,30574
Kentucky,1326646,772474,37648
Louisiana,1255776,856034,36252
Maine,360737,435072,23652
Maryland,976414,1985023,75593
Massachusetts,1167202,2382202,81998
Michigan,2649852,2804040,85410
Minnesota,1484065,1717077,76029
Mississippi,756764,539398,17597
Missouri,1718736,1253014,54212
Montana,343602,244786,15286
Nebraska,556846,374583,24954
Nevada,669890,703486,32000
New Hampshire,365660,424937,15608
New Jersey,1883274,2608335,54489
New Mexico,401894,501614,20457
New York,3244798,5230985,119043
North Carolina,2758775,2684292,81737
North Dakota,235595,114902,11322
Ohio,3154834,2679165,88203
Oklahoma,1020280,503890,36529
Oregon,958448,1340383,75490
Pennsylvania,3377674,3458229,79380
Rhode Island,199922,307486,10349
South Carolina,1385103,1091541,36685
South Dakota,261043,150471,11095
Tennessee,1852475,1143711,57665
Texas,5890347,5259126,162798
Utah,865140,560282,62867
Vermont,112704,242820,11904
Virginia,1962430,2413568,84526
Washington,1584651,2369612,133368
West Virginia,545382,235984,13365
Wisconsin,1610184,1630866,56991
Wyoming,193559,73491,9715
